商品名,顧客属性,問い合わせ元サイト,大区分NO,大区分名,小区分NO,小区分名,ユーザーの意図(Intent),意図要約(短),対象機能(Target Function),Webサイトのバリア(Barrier),バリア要約(短),Web自己解決可能性,推定発生ページ,発生タイミング,重要キーワード,緊急度,顧客の生の声,商品カテゴリ小カテゴリ
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,問い合わせフォーム営業サービスの売込み,フォーム営業代行の提案,不明,なし,なし,不明,お問い合わせフォーム,不明,"問い合わせフォーム営業;送信単価20円;1,500社;リスト作成;原稿作成;手送信;株式会社アイランド・ブレイン;田中英樹;オンライン打ち合わせ;配信停止",低,送信単価20円からの「問い合わせフォーム営業」をご提供しています。;オンラインで 20分～30分の打ち合わせのお時間を頂ければ幸いです。,不明
不明,不明,不明,5,クレーム,1,お届け商品の破損,外箱破損による返品・対応依頼,外箱破損の返品対応依頼,返品対応,なし,なし,低,不明,配送後,福山通運;外箱;破損;返品;運送会社;報告しない,中,福山通運で配送されましたが外箱の破損がひどく返品しました。;運送会社の対応は、中身に支障がなければお客様側の判断で会社には報告しないといわれましたが今回はご対応の程よろしくお願いいたします。,不明
不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,なし,なし,不明,不明,不明,11月6日;続き;株式会社オペレーション・トレーニング・サービス,中,お世話になっております。11月6日に確認させていただいた続きになります。ご確認願い致します。,不明
什器,不明,不明,1,商品単品の仕様について,8,その他商品について,画像の什器が過去商品のものか確認したい,10年以上前の什器か確認,商品特定,なし,なし,低,お問い合わせフォーム,不明,画像3;什器;10年以上前;御社の商品;確認お願い致します,低,お世話になっております。画像3です。;こちらの什器は10年以上前の御社の商品との事でした。,店舗什器
カウンター,不明,不明,1,商品単品の仕様について,8,その他商品について,カウンター仕上げテクスチャー画像の提供可否確認,ダークブラウンの質感画像確認,商品仕様確認,商品ページで仕上げの質感が分かる画像が見当たらない,仕上げ質感を確認できる画像不足,中,商品ページ,注文前,カウンター;仕上げ;テクスチャー;ダークブラウン;画像;パース,低,カウンターの仕上げのテクスチャー（ダークブラウン）を確認できる画像とかはあるのでしょうか。;パースを描くにあたり参考にしたいと考えています。,レジカウンター／レジ台
買い物かご台,不明,不明,3,注文について,5,お客様都合による返品や交換,買い物かご台の返品・交換可否を確認したい,サイズ不一致時の返品交換確認,返品・交換,なし,なし,中,ご利用ガイド（キャンセル・返品・交換について）,注文前,買い物かご台;カゴの大きさ;返品;交換,低,カゴの大きさで合わなかったら返品、交換はできるのでしょうか？,買い物かご
買い物かご台,不明,不明,4,ご利用について,6,支払方法の種類について,振込払いが可能か確認したい,支払方法に振込があるか確認,支払,なし,なし,高,ご利用ガイド（お支払いについて）,支払時,振込;支払い;買い物かご台,低,お支払いは振込でも可能でしょうか？,買い物かご
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,営業代行サービスの売り込み・商談打診,成果報酬型営業代行の提案,不明,なし,なし,高,不明,不明,"株式会社アイランド・ブレイン;木村;営業代行;アポイント獲得;成功報酬型;月額0円;55業種;4,000社;打ち合わせ;料金体系;オンライン;30分",低,よろしければ、一度詳しいサービス内容や料金体系など オンラインにて30分ほどお打ち合わせをさせて頂きたく存じます。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書が同梱されておらず別送で届くか確認したい,納品書の別送到着確認,納品書,案内と実際の同梱状況が一致しない,同梱と記載だが納品書未封入,低,不明,配送後,納品書;別送;同梱;注文者;送り先;入っていませんでした,中,「納品書を別送としましたが、注文者と送り先の場合は同梱と記載がございましたが入っていませんでした。」;「別送で後ほど届くのでしょうか？」,不明
耐火金庫 ダイヤル式 50kgタイプ,不明,不明,8,帳票について,3,見積書の発行希望,商品の見積書を発行してほしい,耐火金庫の見積書発行依頼,見積書発行,なし,なし,中,お問い合わせフォーム,注文前,耐火金庫;ダイヤル式;50kgタイプ;1台;61-782-96-2;見積り,中,以下の商品につきましては、お見積りをお願いできますでしょうか。,金庫
カタログ,事務担当,不明,8,帳票について,2,請求書の発行希望（インボイス目的以外）,受取人指定の納品書を指定先へ送付し、納品時に貼付して渡してほしい,受取人指定納品書の送付依頼,帳票送付,なし,なし,低,不明,帳票発行時,受取人指定納品書;愛知物流センター;水野様;11/10着;ヤマト運輸;4867-6744-5091;納品時;貼付,中,受取人指定納品書を、御社愛知物流センター・水野様当てに、11/10着で送付します。;納品時、カタログに貼付の上、受取人にお渡しください。,不明
不明,不明,不明,4,ご利用について,11,顧客登録情報の変更希望,登録メールアドレスを変更したい,登録メールアドレス変更依頼,メールアドレス変更,なし,なし,中,メールアドレス変更,不明,メールアドレス変更;近日使用不能;shimofujiki@gmail.com,中,メールアドレスの変更をお願いします、現在使用しているメールアドレスは近日使用不能になります。;下記に変更お願いします。 shimofujiki@gmail.com,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書の再発行を依頼したい,納品書を紛失し再発行依頼,納品書再発行,なし,なし,中,不明,帳票発行時,納品書;紛失;再発行,中,納品書を紛失してしまった為、再発行していただけますでしょうか。,不明
ダンボール,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,本日指定のダンボールの到着予定時刻を確認したい,本日指定便の到着時刻確認,納期確認,なし,なし,低,不明,配送前,本日指定;ダンボール;届いておりません;到着予定;何時頃,高,本日指定でダンボールをお願いしておりますが、まだ届いておりません。;おおよそ何時頃に到着予定でしょうか。,ダンボール／梱包ケース
不明,不明,不明,4,ご利用について,1,ログインできない,ログインできない原因を解消したい,電話番号不一致でログイン不可,ログイン,登録電話番号が違う表示が出てログインできない,電話番号不一致エラーでログイン不可,中,ログイン/マイページ,不明,ログイン出来ず;登録の電話が違う,中,ログイン出来ず、 登録の電話が違うと出てきてしまいます,不明
不明,不明,不明,6,納期について,9,到着時間指定の希望（ご注文前）,出荷日・納品日の指定を依頼したい,11/8出荷・11/9納品希望,納期指定,なし,なし,中,ご注文の確認,注文時,11/8出荷;11/9納品;納品,中,11/8出荷、11/9（日）納品にてお願いします,不明
イーゼル,不明,不明,8,帳票について,3,見積書の発行希望,商品見積の発行を依頼したい,イーゼル26台の見積依頼,見積書発行,なし,なし,中,お問い合わせフォーム,注文前,61-820-10;イーゼル;26台;御見積,中,61-820-10のイーゼルを26台お願いした場合の御見積をお願いいたします。,イーゼル
不明,不明,不明,3,注文について,4,注文のキャンセル,2点の注文をキャンセルしたい,2点のキャンセル依頼,キャンセル,なし,なし,中,注文履歴詳細,注文後,2点;キャンセル,中,2点 キャンセル,不明
不明,不明,不明,4,ご利用について,6,支払方法の種類について,注文の支払い方法を変更したい,支払い方法の変更可否確認,支払方法変更,支払方法変更の導線・可否が不明,支払い方法変更の方法が不明,中,注文履歴詳細,注文後,支払い方法;変更;注文,低,こちらの注文の支払い方法を変更できますか？,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,納期遅延を理由に注文をキャンセルしたい,納期が遅いのでキャンセル希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,納期;遅い;キャンセル,中,申し訳ありませんが、納期が遅いので、キャンセルしてください。,不明
不明,事務担当,不明,7,インボイスについて,2,領収書でのインボイス希望,代金引換の領収書を再発行してほしい,代引領収書の再発行依頼,領収書再発行,配送業者が分からず再発行先が不明,領収書発行元(配送業者)が不明,低,不明,帳票発行時,"代金引換;FAX注文;領収書;再発行;￥9,339;注文No.29263663;No.29263664;配送業者;店研創意",中,"領収書（￥9,339-）の再発行をお願いしたくご連絡いたしました。;どの配送業者が分からず、確認していただくことはできますでしょうか。",不明
不明,不明,不明,3,注文について,4,注文のキャンセル,サイズを間違えたため注文をキャンセルしたい,サイズ間違いで再キャンセル,キャンセル,なし,なし,中,注文履歴詳細,注文後,サイズを間違えた;再度キャンセル,中,サイズを間違えたので、再度キャンセルしたいです。,不明
不明,不明,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,再注文の最短納期での配送を依頼したい,再注文分を最短納期で依頼,納期変更,着日選択で11/12が選べない,11/12の着日指定が不可,低,ご注文の確認,注文時,支払い方法を変更;再注文;11/12着;着日が選択できなかった;最短の着日,中,この注文では11/12の着日が選択できなかったので最短の着日でお願いいたします。,不明
HEIKO 角底袋 茶無地 紙袋,不明,不明,3,注文について,4,注文のキャンセル,誤って注文した商品をキャンセルしたい,誤注文のため注文キャンセル希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,61-800-83-14;HEIKO;角底袋;茶無地;紙袋;幅13×奥行8×高さ23.5cm;2000枚;キャンセル;商品を間違えました;一粒の麦;播磨,中,商品を間違えましたので、 キャンセルをお願いいたします。;正しい注文は後日させていただきます。,角底袋
乳白半透明ゴミ袋 ボックス入り/90リットル ; 乳白半透明ゴミ袋 ボックス入り/45リットル,不明,不明,3,注文について,4,注文のキャンセル,注文済みのゴミ袋2商品のキャンセルを依頼したい,ゴミ袋2商品の注文キャンセル希望,注文キャンセル,なし,なし,中,注文履歴詳細,注文後,100枚;乳白半透明;ゴミ袋;ボックス入り;90リットル;45リットル;キャンセル,中,【100枚】乳白半透明ゴミ袋 ボックス入り/90リットル・【100枚】乳白半透明ゴミ袋 ボックス入り/45リットル、両方とも注文のキャンセルをお願いします。,ゴミ袋
ヘルメットフック,不明,不明,1,商品単品の仕様について,8,その他商品について,ヘルメットフックに合うバーサイズを確認したい,対応バーサイズの確認依頼,商品仕様確認,仕様情報（対応バーサイズ）が見つからない,対応バーサイズ情報が掲載されていない,中,商品ページ,注文前,61-531-63;ヘルメットフック;サイズ;バー;合う;情報が見つからず,低,こちらの器具にはどのサイズのバーが合いますでしょうか？;情報が見つからず確認させていただきます。,不明
不明,不明,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,納品日を10日以降へ変更したい,納品日を10日以降へ変更希望,納期変更,なし,なし,低,不明,注文後,出荷日;25/11/08;土;納品;9日;日;休み;10日;月;以降;変更希望,中,納品は９日（日）だと、お休みになってしまうので、10日（月）以降でお願い致します。,不明
不明,不明,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,注文後に至急発送できるよう納期指定（変更）したい,納期指定忘れで至急発送希望,納期変更,納期指定の手順や変更方法が分からない,納期指定を忘れ変更手順不明,中,注文履歴詳細,注文後,納期指定;忘れた;至急;早急に発送;注文,高,納期指定をするのを忘れました;至急使用したいので早急に発送をお願い致します,不明
不明,不明,不明,6,納期について,10,到着時間指定の希望（ご注文後）,注文後の配送時間帯を指定したい,営業時間内の配達希望,到着時間指定,なし,なし,低,不明,配送前,南海国際旅行;届先;営業時間;9:00～17:00;お届け,中,届先の営業時間が、9：00～17：00になりますのでその間でお届けいただけますと対応可能です。,不明
福袋,不明,不明,5,クレーム,3,注文した商品と違うものが届いた,注文した福袋と違う商品が届いたため確認したい,福袋の色違い誤納の確認,誤納品対応,なし,なし,低,不明,配送後,福袋;赤色;濃いほう;明るいほう;シモジマ;袋にシモジマと書いてある;58-157-5-4;61-312-1-2;色違い;違う商品が届いた,中,赤色が濃いほうの 58-157-5-4を注文したのですが シモジマ61-312-1-2の赤色が明るいほうが届きました;シモジマとは書いていない赤いほうを注文したのですが、 同じサイズの福袋は２種類あったのではないのでしょうか？,（正月）福袋の袋
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,注文済み商品のうち納期が遅い商品を特定したい,遅延対象の商品特定希望,納期確認,どの商品が納期遅延要因か注文画面で判別できない,遅い商品が注文内で不明,中,注文履歴詳細,注文後,13720091;11月25日まで;12月初旬;商品がそろい次第の発送;遅くなる条件;注文しなおし,高,「遅くなる条件がどの商品かを伺って、それを除いて注文しなおそうかと考えています。」;「注文中、いずれの商品が遅いのかをお伺いしたいのですが、お電話での問い合わせになりますか。」,不明
不明,不明,不明,4,ご利用について,1,ログインできない,ログインできないため解決したい,ログインできない原因確認,ログイン,ログイン手順やエラー内容が不明,ログイン不可の原因が分からない,中,ログイン/マイページ,不明,ログインできません,低,ログインできません,不明
不明,店舗オーナー,不明,6,納期について,1,納期確認（ご注文前）-サイト表示日より早くほしい,可能なら本日出荷で手配してほしい,本日出荷で対応希望,納期確認,なし,なし,低,カート,注文前,本日出荷;11月11日;新店舗オープン;カゴに入れたまま;発注していない,高,可能であれば本日出荷でお願いしたく;カゴに入れたまま発注をしていないというミスをしてしまいまして,不明
手提げポリ袋ハード型 白〔ストエキオリジナル〕/30×45cm,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,注文前に納期を早められるか確認したい,12時まで注文で月曜着可否,納期確認,表示納期より早い着日可否が分からない,サイト表示より前倒し可否不明,中,商品ページ,注文前,手提げポリ袋ハード型;白;ストエキオリジナル;30×45cm;61-782-15-2;本日12時まで;月曜日;来週水曜日;兵庫県西宮市,高,本日12時まで注文した場合、月曜日には商品届くか？,レジ袋／ポリ袋
不明,事務担当,ストエキ（公式サイト）,4,ご利用について,11,顧客登録情報の変更希望,社名変更に伴い会員情報と支払カード情報を更新したい,社名変更とカード更新手順,会員情報変更;クレジットカード情報確認,クレジットカード番号変更の導線が分からない,カード番号変更場所が不明,中,会員情報変更,支払時,会社が合併;社名が変わり;クレジットカードも変更;再度登録;マイページ;クレジットカード番号の変更;前回のアドレス;登録;消す,低,会社が合併して社名が変わりクレジットカードも変更しましたので再度登録をしたいです。;クレジットカード番号の変更はどこからすればいいですか？,不明
不明,不明,不明,14,担当者不在,1,担当オペレーター不在により後程折り返し,休業日のため担当者から携帯へ連絡してほしい,休業日なので携帯へ連絡希望,折り返し連絡,なし,なし,低,不明,不明,ワールド工芸;会社休業;電話番号;福田;090-7303-6370;先程メール,中,本日は会社休業の為 私の電話番号にお電話していただけますと 助かります,不明
防犯ネット,事務担当,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,領収書の但し書きを指定して発行してほしい,領収書の但し書き指定希望,領収書発行,なし,なし,低,不明,帳票発行時,領収書;但し書き;防犯ネット代として;経費精算;商品代として,中,領収書の但し書きを「防犯ネット代として」で発行いただけないでしょうか。;「商品代として」では申請ができないため。,防犯ネット
柱ネット什器,事務担当,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,領収書の但し書きを指定文言に変更して発行してほしい,領収書但し書き変更依頼,領収書発行,なし,なし,低,不明,帳票発行時,領収書;但し書き;柱ネット什器代として;経費精算;商品代として,中,領収書の但し書きを「柱ネット什器代として」で発行いただけないでしょうか。;会社の経費精算にあたり、「商品代として」では申請ができないため。,ネットスタンド
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,指定日までに届くか確認したい,11/10着可否を確認,納期確認,なし,なし,中,商品ページ,注文前,11月10日;11月11日;キャンセル,高,11月10日に届けて頂きたいのですが、可能でしょうか？;11月11日より後になる場合キャンセルしたいです。,不明
不明,不明,不明,1,商品単品の仕様について,8,その他商品について,届いた商品の仕様（星の点滅）を消せるか確認したい,星の点滅を消せるか確認,商品仕様確認,なし,なし,中,商品ページ,不明,動画;上の星;点滅;届いた商品;消す事が出来る,低,動画だと上の星が点滅していないのですが、今回届いた商品は上の星が点滅しています。;星の点滅は消す事が出来るのでしょうか？,不明
ラック下のバー,不明,不明,5,クレーム,2,お届け商品のパーツ不足,ラック下のバー固定ネジ不足のため不足分を発送してほしい,固定ネジ不足で追加発送希望,パーツ不足対応,なし,なし,低,不明,配送後,ラック;バー;固定ネジ;ネジが1本足りません;発送対応,中,ラック下のバーを固定するネジが1本足りません。 発送対応ください。,スチールラック／収納ラック
ショーケース,不明,不明,5,クレーム,1,お届け商品の破損,破損したショーケースの返品交換を依頼したい,破損品の返品交換を依頼,返品・交換,なし,なし,低,お問い合わせフォーム,配送後,梱包を開封後;ショーケース;割れ跡;破損;返品交換;2点注文;もう1点は問題ありません,中,画像の通り 梱包を開封後、 ショーケースの一部に割れ跡が広がっており、 返品交換対応をご依頼できたらと思います。,ショーケーススタンドタイプ
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,注文済み商品の到着日が11/20までに間に合うか確認したい,11/20までの到着可否確認,納期確認,なし,なし,低,不明,注文後,山口夏帆;11月17日入荷次第;一括配送;11月20日まで;受け取りたい;届けていただくことは可能,高,11月20日までに商品を受け取りたいと思っています。20日までに届けていただくことは可能でしょうか。,不明
不明,不明,不明,4,ご利用について,11,顧客登録情報の変更希望,ログイン用メールアドレスを再設定したい,ログイン用アドレス再設定,メールアドレス変更,メールアドレス変更手順が分からない,ログイン用アドレス再設定手順不明,中,メールアドレス変更,不明,ログイン;アドレス;使えなくなった;再設定,中,ログインのアドレスが使えなくなったので新たに再設定したい。,不明
不明,不明,不明,6,納期について,8,配送会社に関する希望（ご注文後）,用意できた商品から順次出荷してほしい,準備できた分から順次出荷希望,出荷/分納対応,なし,なし,低,不明,注文後,用意のできたものから出荷;今後も同じ対応,中,用意のできたものから出荷をお願いします。;今後も同じ対応でお願いいたします。,不明
不明,不明,不明,5,クレーム,1,お届け商品の破損,不具合品の交換を依頼したい,受領商品の不具合で交換希望,交換,なし,なし,低,お問い合わせフォーム,配送後,不具合;交換,中,受け取った商品に不具合がありました。交換いただけますでしょうか。,不明
不明,不明,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,誤って入った納期指定を解除し最短配送に変更したい,納期指定を最短配送へ変更,納期変更,なし,なし,中,注文履歴詳細,注文後,12月の指定;最短;配送,高,指定を入れたつもりがなかったのですが いつも早いのに届かないなと思ったら12月の指定が入ってたので最短で配送お願いします,不明
不明,事務担当,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,配送状況照会で送り状番号が違うため確認してほしい,送り状番号相違の確認依頼,配送状況確認,配送状況照会で正しい送り状番号が表示されない可能性,配達状況照会の送り状が違う,低,注文履歴詳細,配送前,配達状況照会;送り状NO;久留米運送;4340405419604;受注番号;29357720;個口数5;（有）白尾商会;〒8919301;0997974646,中,配達状況照会をしたところ、送り状NOが違うようです。;確認よろしくお願いいたします。,不明
不明,不明,不明,4,ご利用について,1,ログインできない,ログインできないためパスワード再設定の方法を知りたい,電話番号とメルアド不一致で再設定不可,パスワード再設定,電話番号とメールアドレスが一致せずパスワード再設定が進められない,電話番号とメルアド不一致で再設定できない,中,パスワード再設定,不明,ログインできず;パスワード再設定;電話番号;メルアド;一致しません,中,ログインできず パスワードを再設定しようとしたが 電話番号とメルアドが一致しません どうすればよいでしょうか,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,出荷予定日を早めてほしい,17日出荷を前倒し希望,納期確認,なし,なし,低,注文履歴詳細,注文後,納期;17日出荷;急いでおります;対応お願いいたします,高,納期ですが、１７日出荷となっていますが、急いでおりますので、ご対応お願いいたします。,不明
不明,不明,不明,4,ご利用について,12,注文履歴について,会員番号を確認したい,会員番号が分からず確認したい,会員番号確認,会員番号の確認場所が分からない,会員番号の表示箇所が不明,中,ログイン/マイページ,不明,会員番号,低,会員番号が分からないので教えてください,不明
不明,不明,不明,4,ご利用について,1,ログインできない,ログインできないため解決したい,ログイン不可の解消依頼,ログイン,ログイン手段/エラー内容が不明で原因特定できない,エラー内容不明で対処不可,中,ログイン/マイページ,不明,ログインできません;以前購入済み,低,ログインができません。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書を再発行してインボイス番号を確認したい,納品書再発行で番号確認,納品書再発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;廃棄;インボイス番号;経費処理;再発行,中,納品書を誤って廃棄してしまい、インボイス番号の確認ができず経費処理が出来ない状態です。再発行は可能でしょうか。,不明
180センチの商品,個人,不明,3,注文について,5,お客様都合による返品や交換,サイズが小さい商品の交換手続きを知りたい,小さかったため交換希望,返品・交換,手続き方法が分からない,交換の手続き手順が不明,中,ご利用ガイド（キャンセル・返品・交換について）,配送後,小さかった;180センチ;交換;手続き;お手続き,中,思ったより小さかったので 180センチの商品と交換して頂きたいです。;お手続きをどのようにすれば、よいでしょうか？,不明
不明,不明,ストエキ（公式サイト）,4,ご利用について,1,ログインできない,PCでログインできない原因を知り解決したい,PCだけログイン不可の解消,ログイン,PC環境（ブラウザ/キャッシュ/Cookie等）に起因してログイン処理が進まない可能性,PC環境要因でログインできない,中,ログイン/マイページ,不明,スマホ;PC;ログインできない,低,スマホではログインできるがPCだとログインできない,不明
不明,不明,不明,4,ご利用について,1,ログインできない,PCでログインできない原因を知り解決したい,PCだけログイン不可の解決,ログイン,PC環境（ブラウザ設定・Cookie/キャッシュ・拡張機能等）によりログイン処理が通らない可能性,PC環境要因でログインできない,中,ログイン/マイページ,不明,スマホ;PC;ログインできない,低,スマホだとログインできるがPCだとログインできない,不明
不明,不明,不明,5,クレーム,4,商品が届かない,配達完了扱いだが未受領のため調査してほしい,配達完了なのに未受領,配送状況確認,なし,なし,低,注文履歴詳細,配送後,配達完了;受け取ってない;未受領,中,商品が配達完了になっているのにうけとってないのですが,不明
ヘ゛ストハ゜ネル B3黒,不明,不明,3,注文について,4,注文のキャンセル,発送準備中の残り商品をキャンセルしたい,発送準備中分の一部キャンセル希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,受注番号:29342580;ヘ゛ストハ゜ネル B3黒;5点セット;バラ売り;12品;在庫の関係;先に到着;発送準備;一旦キャンセル,中,残りの発送準備にある5点セット1つとバラ2点を一旦キャンセルにしていただくことは可能でしょうか。,カードケース
不明,不明,ストエキ（公式サイト）,6,納期について,3,納期確認（ご注文前）-いつ届くのか,11/15までに兵庫県へ納品できるか確認したい,11/15まで納品可否確認,納期確認,なし,なし,中,商品ページ,注文前,https://www.store-express.com/shop/g/g57-3-6-1/;M;L;80個;11/15まで;兵庫県;納品,高,"「11/15までにM,L合わせて兵庫県に納品していただくことは可能でしょうか？」",不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,注文後の納期と在庫の詳細確認をしたい,注文後の納期と在庫確認,納期確認,なし,なし,中,注文履歴詳細,注文後,Ｍサイズ;80個;納期;在庫;購入手続き;株式会社MIYABI;門谷;kadotani.y@miyabi-entertainment.com;08051027290,中,「Ｍサイズで80個選択できた為、購入手続きを進めさせていただきました。」;「納期と在庫について、詳細を確認したく」,不明
クリスマスプレゼント,個人,ストエキ（公式サイト）,4,ご利用について,8,注文方法が分からない,ギフト用ラッピング対応と依頼方法を知りたい,ラッピング依頼手順を確認,ラッピング依頼,ラッピング依頼の導線が分からない,商品購入ページで依頼箇所不明,中,商品ページ,注文前,クリスマスプレゼント;ラッピング;商品購入ページ;どこから依頼,低,クリスマスプレゼントを購入したいのですが、ラッピングはしていただけますか？;商品購入ページのどこから依頼できますか？,不明
不明,事務担当,不明,8,帳票について,2,請求書の発行希望（インボイス目的以外）,請求書をデータで受領したい,請求書データ発行の依頼,請求書発行,なし,なし,中,不明,帳票発行時,納品の確認;請求書;データでいただく,中,納品の確認はできておりますが、請求書の確認ができておりません。;請求書をデータでいただくことは可能でしょうか。,不明
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,配送（納期）がいつか確認したい,配送予定日を確認したい,納期確認,なし,なし,中,不明,注文前,配送;いつ,中,配送はいつよろしいですか,不明
電飾,不明,不明,5,クレーム,1,お届け商品の破損,購入商品の不具合（電飾が点灯しない）の対応方法を知りたい,電飾が点灯しない不具合相談,不良品対応,なし,なし,中,不明,配送後,先日購入;設置;上半分;電飾;つかない,中,設置したところ上半分の電飾がつかない状況でした。;どの様にすればよろしいでしょうか？,イルミネーションライト
不明,不明,不明,5,クレーム,2,お届け商品のパーツ不足,購入商品にネジ（7番）が不足しているため早急に送付してほしい,不足ネジの早急送付依頼,不足部品手配,なし,なし,低,お問い合わせフォーム,配送後,7番のネジ;ネジが入っていない;早めに郵送;購入した商品,高,購入した商品の7番のネジが入っていない状態だったのですが、早めに郵送いただくことは可能でしょうか。,キャスター（共通オプション）
不明,不明,不明,1,商品単品の仕様について,8,その他商品について,今回注文した商品に取り付け可能なキャスターの種類（注文すべき品）を知りたい,取付可能キャスター確認,適合品確認,適合キャスター情報が分からない,取付可能キャスターが判断できない,中,商品ページ,注文後,キャスター;どれを注文すべき;今回注文した商品,中,今回注文した商品にキャスターをつけたい場合どれを注文すべきかご教示いただくこと可能でしょうか。,キャスター（共通オプション）
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,指定した納期より早めに届けてほしい,指定日より早い納品希望,納期変更,なし,なし,低,注文履歴詳細,注文後,日にち指定;もっと早く;届ける,中,日にちを指定していますがもっと早く届けることができればその様にお願い致します。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書を再発行してFAX送付してほしい,納品書をFAXで再送依頼,帳票再発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;同封されておりませんでした;FAX,中,納品書が同封されておりませんでした。;ＦＡＸ等で送っていただけないでしょうか？,不明
スノーマン,不明,不明,1,商品単品の仕様について,8,その他商品について,商品到着のお礼を伝える,商品到着と梱包へのお礼,不明,なし,なし,高,不明,配送後,新しいスノーマン;丁寧な梱包;三体;迅速に対応,低,本日、新しいスノーマンが届きました。;丁寧な梱包をしていただき、ありがとうございました。,クリスマス雑貨
ホワイトファイバークリスマスツリー 180センチ,個人,不明,4,ご利用について,11,顧客登録情報の変更希望,誤登録したメールアドレスを正しいものに修正し注文確認を受け取りたい,誤登録メールアドレス修正,メールアドレス変更,誤ったメールアドレスで会員登録・注文してしまい注文確認メールを受信できない,誤メアドで注文確認が受け取れない,中,メールアドレス変更,注文後,誤った会員登録;間違えたメールアドレス;yoshihirohiromi@gmail.com;1209yoshihirohiromi@gmail.com;注文確認メールが届かない;再登録;注文しなおし;キャンセル;090-5561-1415;中川芳洋;ホワイトファイバークリスマスツリー;180センチ,中,誤った会員登録(間違えたメールアドレス) で注文してしまいました。;どうしたらよいのか教えてもらえると助かります。,ホワイトファイバークリスマスツリー 180センチ
不明,不明,不明,3,注文について,4,注文のキャンセル,注文をキャンセルしたい,注文のキャンセル依頼,キャンセル,なし,なし,中,注文履歴詳細,注文後,11月13日まで;実店舗で購入;キャンセル,高,11月13日までに商品が必要なようで、実店舗で購入したいと存じます;そのためこちらの注文をキャンセルいただけますでしょうか。,不明
クリスマスツリー（ヌードツリー）,店舗オーナー,不明,1,商品単品の仕様について,8,その他商品について,ヌードツリーの仕様を比較して最適なボリューム感の型番を選びたい,ヌードツリー仕様比較の相談,商品仕様確認,商品ページに枝密度・TIPS数・最大横幅・素材など比較情報が不足,枝密度等の比較情報が見つからない,中,商品ページ,注文前,ヌードツリー;クリスマスツリー;58-30-4;180cm;枝のボリューム感;密度;TIPS数;スリム型;標準型;ボリューム型;最大横幅;幹部分の素材,低,「葉がこんもりとして見えるタイプ」を探しております;枝のボリューム感（密度）が分かる情報を教えていただけますでしょうか。,ヌードツリー
ボックスフレームラック 幅45cm〔ストエキオリジナル〕 / 4段 サテンホワイト,不明,不明,1,商品単品の仕様について,8,その他商品について,破損したラック用のガラス板を単品購入したい,割れたガラス板の単品購入可否確認,部品購入（単品販売）,交換用部品（ガラス板）単品の案内が見当たらない,ガラス板単品購入の案内が不明,中,商品ページ,注文後,ガラス;割ってしまいました;ガラス一枚だけ;40×35cm;二段目;三段目;ボックスフレームラック;幅45cm;4段;サテンホワイト;注文日2025年08月21日;13677933;61-105-1-1,中,移動の際に誤ってガラスを割ってしまいました。ガラス一枚だけ購入することは出来ないでしょうか？;可能であれば、値段も教えて下さい。,スチールラック／収納ラック
不明,不明,不明,3,注文について,4,注文のキャンセル,注文をキャンセルして他商品へ変更したい,他商品へ変更のためキャンセル,キャンセル,なし,なし,中,注文履歴詳細,注文後,キャンセル;他の商品に変更,中,他の商品に変更したいため、キャンセルお願いいたします。,不明
